t,0,1,2
0.0,0.1,0.0,0.0
0.01,0.09178938547596417,0.02663844461886617,1.2596529135387337e-05
0.02,0.08678661343089365,0.05118403666014626,4.653966497932172e-05
0.03,0.0845379095592017,0.07447276449223925,9.849540360496347e-05
0.04,0.08468032762440847,0.09725655874183717,0.00016751199419005885
0.05,0.08696716700216185,0.12017316678895953,0.00025506157275514
0.06,0.09126043010919711,0.14376018643817567,0.0003643604754485577
0.07,0.09746042647952981,0.1685547286741843,0.0005002158212662564
0.08,0.10550172292602475,0.19509975312164463,0.0006690936759668246
0.09,0.11538781170318181,0.22390839386461833,0.0008800605864664594
0.1,0.12720407271695044,0.25544596434767514,0.001143613681820132
0.11,0.14106493189447478,0.2902205686555286,0.001473978996179657
0.12,0.1571100354732936,0.3287945678115936,0.0018899172852841534
0.13,0.17550425000134043,0.37178457977798646,0.002414724026460047
0.14,0.19645720614926923,0.4198604763123726,0.0030813899992582472
0.15,0.2202517648567671,0.47369452944924834,0.003923229064476718
0.16,0.24721337808781624,0.5340312372618619,0.0049802204445978885
0.17,0.27771401085369385,0.6017330334771184,0.00631239852485462
0.18,0.31217216668879405,0.6777803260754458,0.007999871004851724
0.19,0.35105288765062787,0.7632714972907957,0.01014281889856597
0.2,0.39486775431982307,0.8594229036106422,0.012861496534346064
0.21,0.44421778510355464,0.9676153518178848,0.016385929803047167
0.22,0.49979652911896644,1.0893259797570864,0.020915195610024896
0.23,0.5623447059177116,1.226152259373794,0.026534577313809284
0.24,0.6327346270994045,1.3799799028198825,0.03348521488260363
0.25,0.7119713601920543,1.5529846497914368,0.04216729466381939
0.26,0.8011927286520626,1.7476322675287486,0.05314004938407605
0.27,0.901669311864225,1.9666785508163176,0.06712175814920124
0.28,1.0148044451417306,2.2131693219828517,0.08498974644423068
0.29,1.1421342197261615,2.4904404309012644,0.107780386133408
0.3,1.285327482787495,2.8021177549886844,0.1366890954601854
0.31,1.446239049845428,3.1516559838262608,0.17442610045354723
0.32,1.6270724912901517,3.5433801110407055,0.2235676156216362
0.33,1.8303151434610898,3.9834205940263985,0.28433005994930133
0.34,2.0587578668938864,4.478087121587976,0.35866533201696427
0.35000000000000003,2.315496235809548,5.033840263378538,0.45033487815907436
0.36,2.6039305381144375,5.657291469899651,0.5649096924641074
0.37,2.927765775400286,6.355203072501348,0.7097703167745688
0.38,3.2910116629441797,7.134488283382126,0.8941068406869892
0.39,3.6979826297085676,8.002211195588943,1.1289189015519274
0.4,4.153297818341259,8.965586783017224,1.42701568447397
0.41000000000000003,4.661881085175425,10.031980900410858,1.8030159223117308
0.42,5.228264008887022,11.206223364815937,2.273747764991902
0.43,5.856172941732025,12.487715353772717,2.862296474414179
0.44,6.553243579642463,13.887367595024648,3.596746399102449
0.45,7.325003617320599,15.405558269699709,4.50847958944575
0.46,8.174221223858847,17.029708712431557,5.632226198469757
0.47000000000000003,9.10090504273977,18.734283411359527,7.006064481836767
0.48,10.102304191836078,20.480790008128622,8.671420797845709
0.49,11.172908263410648,22.217779297889557,10.673069607432161
0.5,12.304356456932062,23.88123552674197,13.058458844965264
0.51,13.47993844713308,25.394359837430482,15.847355154706406
0.52,14.673972730907593,26.625897836008743,19.044746489602367
0.53,15.853078225081202,27.440178226123162,22.623170461624238
0.54,16.97479851902772,27.714616401742145,26.50712559508635
0.55,17.987601874669163,27.339714447156087,30.573071326646257
0.56,18.831667488285174,26.215700604841818,34.650975221857685
0.5700000000000001,19.45404663052397,24.260393047799834,38.539024970873626
0.58,19.798058161891106,21.609498647815094,41.98488934544279
0.59,19.82379540225151,18.438815778969083,44.787688317785424
0.6,19.51609870097069,14.910226229719871,46.821549185523615
0.61,18.884555436914773,11.171695202902027,48.035606571681406
0.62,17.961477069334855,7.367870529175715,48.45127482159025
0.63,16.776269261505664,3.773493445171659,48.13164791903433
0.64,15.38148462631633,0.5766129389404195,47.208433221178666
0.65,13.838041973295521,-2.130779220793542,45.84063347838538
0.66,12.207580703717099,-4.318833120804262,44.20226138184903
0.67,10.549099712958006,-6.014114090996026,42.45715272443427
0.68,8.908789154035848,-7.270722906829807,40.70081371849762
0.6900000000000001,7.323628335925626,-8.154014773791813,39.00960398635921
0.7000000000000001,5.820581699023507,-8.73572724516422,37.43419727300101
0.71,4.4169522302805495,-9.09154443425809,35.99991094535694
0.72,3.1223293434223693,-9.277734724509381,34.71316011789085
0.73,1.9387192619473699,-9.339983857128695,33.56840148652019
0.74,0.8652717032684771,-9.317172614763127,32.55673586983647
0.75,-0.10117731418691278,-9.240183225520285,31.666748414818862
0.76,-0.9661054709769239,-9.13189936296829,30.88450859683419
0.77,-1.737318808256605,-9.007746775351567,30.19406480338181
0.78,-2.423709242154848,-8.880395515454943,29.583565887789717
0.79,-3.032885891479446,-8.756968378124444,29.042849863648232
0.8,-3.5723015519598538,-8.642655282245963,28.562535947700834
0.81,-4.04943098365303,-8.541654979259638,28.134521532828373
0.8200000000000001,-4.471770910943434,-8.457175053159869,27.751982188049084
0.8300000000000001,-4.8468400225430255,-8.3914319204953,27.409371658518577
0.84,-5.182085771446209,-8.345273176382578,27.10211792575237
0.85,-5.483039375874293,-8.317439940793072,26.826551930477407
0.86,-5.753560257975371,-8.307075566804041,26.5808307459305
0.87,-5.997429520810031,-8.313318416053328,26.363258502134652
0.88,-6.218395947876122,-8.335224014822856,26.17218393903819
0.89,-6.420176003108756,-8.37176505403863,26.006000406514723
0.9,-6.606453830880305,-8.421831389270736,25.86314586436315
0.91,-6.780881256000406,-8.48423004073334,25.742102882307677
0.92,-6.9465879147686715,-8.55751147644199,25.641772485837652
0.93,-7.104559668616892,-8.639876200585697,25.56259724972302
0.9400000000000001,-7.255750265325578,-8.729932532511427,25.50478673426835
0.9500000000000001,-7.401105044006751,-8.82622991144336,25.468312692086435
0.96,-7.5415165094513394,-8.927229669132277,25.452944376103147
0.97,-7.677824332129192,-9.031305029855561,25.458248539557427
0.98,-7.810815348189067,-9.136741110417194,25.483589436001296
0.99,-7.941223559458637,-9.241734920147758,25.528128819299862
1.0,-8.069717866023819,-9.344416176302424,25.59083724782694
1.01,-8.196289429799702,-9.443374297825796,25.67102194308514
1.02,-8.320253982444163,-9.536982569818838,25.768263717507473
1.03,-8.440951824575173,-9.623506872464846,25.881848045938845
1.04,-8.55773888821755,-9.701338655878349,26.010787348956846
1.05,-8.669986736802956,-9.768994940105113,26.153820992871744
1.06,-8.777082565169895,-9.825118315122138,26.309415289726502
1.07,-8.878429199563712,-9.868476940837656,26.47576349729676
1.08,-8.973445097636594,-9.897964547091133,26.650785819090842
1.09,-9.061564348447575,-9.912600433653271,26.832129404349757
1.1,-9.14223667246253,-9.911529470226007,27.017168348047203
1.11,-9.214956264680715,-9.894052424745631,27.2035214471445
1.12,-9.27891966275473,-9.860060096525114,27.38945187721428
1.1300000000000001,-9.333063151746813,-9.809916841640105,27.572228184467587
1.1400000000000001,-9.376516713750311,-9.744158082872625,27.74925873134299
1.1500000000000001,-9.408614963491916,-9.663485465486078,27.918145182969827
1.16,-9.428897148331668,-9.568766857225246,28.076682507168183
1.17,-9.437107148262948,-9.46103634831628,28.2228589744489
1.18,-9.433193475912482,-9.341494251466717,28.354856158013572
1.19,-9.417309276540347,-9.211507101865463,28.471048933754542
1.2,-9.389812328039957,-9.07260765718281,28.570005480254913
1.21,-9.351265040938076,-8.926494897570416,28.650487278788532
1.22,-9.30243445839481,-8.775034025661325,28.711449113320015
1.23,-9.244292256203613,-8.620256466569955,28.75203907050471
1.24,-9.177364301443427,-8.464700504769887,28.772467663419725
1.25,-9.102088220439637,-8.310651699671846,28.773252064268096
1.26,-9.019526074748347,-8.15976782550569,28.754261188306703
1.27,-8.930751721302327,-8.013604776316447,28.715633301290534
1.28,-8.836850644274698,-7.8736166848726885,28.657776259071333
1.29,-8.738919955078936,-7.741155922666538,28.581367507597587
1.3,-8.638068392368881,-7.617473099913667,28.487354082914536
1.31,-8.535416322038719,-7.503717065553294,28.37695261116417
1.32,-8.432095737222998,-7.40093490724819,28.25164930858523
1.33,-8.32925025829662,-7.31007195138467,28.113199981513198
1.34,-8.228035132874847,-7.231971763072601,27.96363002638031
1.35,-8.129617235813292,-7.167376146145398,27.805234429715558
1.36,-8.035175069207929,-7.1169251431600244,27.640577768144674
1.37,-7.94586321635848,-7.080944376088263,27.472307692511293
1.3800000000000001,-7.86232485056174,-7.057505552605239,27.30082194406435
1.3900000000000001,-7.785168590826434,-7.046480248294433,27.127067077680227
1.4000000000000001,-7.715020538235167,-7.048280804997441,26.95247172525438
1.41,-7.652438126269683,-7.063137849145354,26.77844837437163
1.42,-7.59791012081086,-7.091100291758764,26.606393368306136
1.43,-7.551856620138718,-7.132035328447755,26.437686906021433
1.44,-7.5146290549324135,-7.185628439411912,26.273693042170404
1.45,-7.486510188270239,-7.251383389440313,26.115759687095288
1.46,-7.4677141156296285,-7.328622227911535,25.965218606827683
1.47,-7.4583862648871495,-7.416485288793654,25.82338542308855
1.48,-7.458603396318509,-7.513931190644238,25.69155961328819
1.49,-7.468373602598552,-7.619736836610356,25.57102451052628
1.5,-7.48763630880126,-7.732497414428572,25.46304730359184
1.51,-7.516262272399755,-7.850626396424948,25.36887903696325
1.52,-7.553753428488987,-7.973012912922454,25.28923800385908
1.53,-7.598965863994466,-8.100542403560041,25.22358841445023
1.54,-7.651827939279973,-8.232492950231512,25.172999488614103
1.55,-7.712247845038973,-8.367900095168963,25.138501505197627
1.56,-7.780013212180971,-8.505733946075626,25.1209234548076
1.57,-7.854791111831513,-8.644899176125868,25.120893039810674
1.58,-7.936128055332181,-8.784235023965197,25.138836674333373
1.59,-8.023449994240599,-8.92251529371025,25.174979484262074
1.6,-8.11606232033043,-9.058448354948805,25.229345307243026
1.61,-8.213149865591376,-9.190677142739775,25.301756692682336
1.62,-8.313776902229177,-9.317779157613211,25.391834901745966
1.6300000000000001,-8.416887142665615,-9.438266465570301,25.498999907359753
1.6400000000000001,-8.52130373953851,-9.550585698083363,25.62247039420939
1.6500000000000001,-8.625729285701722,-9.65311805209586,25.76126375874043
1.6600000000000001,-8.728745814225148,-9.744179290022382,25.914196109158297
1.67,-8.829489580947651,-9.822434707404286,26.080161593201108
1.68,-8.927820847852137,-9.887080264900755,26.257842010473247
1.69,-9.022341920865173,-9.93673294161957,26.445001287211323
1.7,-9.11172513599347,-9.97024725834539,26.639369903576306
1.71,-9.194757786902088,-9.986742550694851,26.838668577563634
1.72,-9.270342124914434,-9.985602969116588,27.040608265003186
1.73,-9.337495359012264,-9.966477478891216,27.24289015955931
1.74,-9.395349655835682,-9.929279860131341,27.44320569273079
1.75,-9.443152139683136,-9.874188707781554,27.639236533850877
1.76,-9.480264892511425,-9.801647431618438,27.828654590087275
1.77,-9.506164953935695,-9.71236425625056,28.009122006442144
1.78,-9.520444321229437,-9.607312221118471,28.178291165752093
1.79,-9.522809949324492,-9.48772918049472,28.333804688688183
1.8,-9.513083750811049,-9.355117803483834,28.473295433755943
1.81,-9.491120476947527,-9.211394399125687,28.594773982035903
1.82,-9.457111927320572,-9.058920701850719,28.69696710666975
1.83,-9.411591565211793,-8.899971996822934,28.778703183581186
1.84,-9.355184084023621,-8.736739672865253,28.83910564891478
1.85,-9.288604898410838,-8.571331543687968,28.877593942551137
1.86,-9.212660144280584,-8.40577184788875,28.89388350810687
1.87,-9.12824667879235,-8.24200124895264,28.887985792934632
1.8800000000000001,-9.036352080357986,-8.081876835252054,28.860208248123097
1.8900000000000001,-8.938054648641696,-7.927172120046784,28.811154328496954
1.9000000000000001,-8.834523404560038,-7.779577041483997,28.74172349261693
1.9100000000000001,-8.727018090281925,-7.640697962598234,28.65311120277977
1.92,-8.616889169228628,-7.512057671311413,28.54680892501824
1.93,-8.505577826073766,-7.395095380432818,28.424604129101134
1.94,-8.394610328707374,-7.291143821493699,28.288579028025826
1.95,-8.285172862070809,-7.200153577334686,28.1407772105966
1.96,-8.178242715517504,-7.122329845504982,27.98267877774493
1.97,-8.074849590283236,-7.058387465860547,27.815724831594295
1.98,-7.975954267443838,-7.008843948006622,27.64140766045823
1.99,-7.882448607915203,-6.974019471297725,27.461270738840312
2.0,-7.795155552453283,-6.95403688483765,27.276908727434165
2.0100000000000002,-7.71482912165409,-6.948821707479473,27.089967473123473
2.02,-7.6421544159537,-6.958102127825548,26.902144008981967
2.0300000000000002,-7.577747615628236,-6.981409004227505,26.715186554273416
2.04,-7.5221559807938965,-7.018075864786253,26.530894514451656
2.05,-7.475857851406928,-7.067238907351981,26.35111848116056
2.06,-7.439262647263636,-7.127836999524158,26.177760232234043
2.07,-7.412710868000395,-7.198611678651525,26.0127727316961
2.08,-7.395954589694732,-7.278993479125408,25.85687084376696
2.09,-7.388644528273352,-7.369214184020861,25.710200033103803
2.1,-7.390967742061958,-7.468839102035813,25.574100017937432
2.11,-7.403014576826933,-7.577336406400142,25.449812754565666
2.12,-7.42477787835197,-7.694078149120247,25.338480665958365
2.13,-7.456152992438076,-7.818340260979001,25.241146641757464
2.14,-7.496937764903575,-7.949302551535797,25.158754038276925
2.15,-7.546832541584097,-8.086048709126501,25.092146678502797
2.16,-7.605440168332592,-8.227566300863504,25.04206885209316
2.17,-7.672265991019315,-8.372746772635665,25.00916531537816
2.18,-7.746717855531845,-8.520385449108364,24.993981291359997
2.19,-7.828106107775061,-8.66918153372346,24.99696246971293
2.2,-7.9156435936711675,-8.81773810869933,25.01845500678327
2.21,-8.00842856702378,-8.965265223332802,25.058303434666424
2.22,-8.105704161136204,-9.11135809756756,25.115997961545073
2.23,-8.206895770499647,-9.253809461890008,25.191894879212587
2.24,-8.311350765457112,-9.390497904212534,25.28610314842515
2.25,-8.418332898510249,-9.519454169482769,25.398445969371313
2.2600000000000002,-8.527022304319384,-9.638861159683634,25.52846078167207
2.27,-8.636515499703489,-9.747053933833287,25.675399264380786
2.2800000000000002,-8.745825383640211,-9.842519707985176,25.838227335983248
2.29,-8.853881237265846,-9.92389785522799,26.015625154397622
2.3000000000000003,-8.959528723875366,-9.989979905685704,26.20598711697451
2.31,-9.061529888922385,-10.03970954651754,26.40742186049688
2.32,-9.158563160019193,-10.072182621918,26.617752261180122
2.33,-9.249223346936743,-10.086647133116838,26.834515434672046
2.34,-9.332021641604635,-10.082503238379077,27.054962736052815
2.35,-9.405385618111145,-10.059303253005007,27.276059759835046
2.36,-9.467659232703198,-10.01675164933018,27.494486339963714
2.37,-9.517415012970496,-9.954423070447866,27.70686002591545
2.38,-9.555442246709312,-9.871264103955035,27.911187028653934
2.39,-9.58141801365732,-9.76947324038216,28.10470835997012
2.4,-9.594816988186981,-9.651649389264072,28.28470544970038
2.41,-9.595308322211592,-9.520251868213743,28.44879066450062
2.42,-9.582755645185284,-9.377600402922344,28.59490730784627
2.43,-9.557217064103018,-9.225875127159187,28.721329620032286
2.44,-9.518945163500593,-9.06711658277178,28.82666277817314
2.45,-9.468387005454636,-8.903225719685775,28.909842896202843
2.46,-9.406184129582611,-8.73596389590502,28.97013702487491
2.47,-9.33317255304281,-8.566952877511506,29.007143151762396
2.48,-9.250382770534364,-8.397674838665418,29.020790201257874
2.49,-9.15903975429723,-8.229472361605088,29.01133803457345
2.5,-9.060562954112209,-8.063548436647041,28.979377449740735
2.5100000000000002,-8.95656629730092,-7.900966462185943,28.925830181610884
2.52,-8.848364273547412,-7.743609825687208,28.8520777438519
2.5300000000000002,-8.736111336946944,-7.595654715747011,28.75962456847331
2.54,-8.621104071953043,-7.4587559903118485,28.649331355144053
2.5500000000000003,-8.504690401482927,-7.334164169548857,28.522217580833225
2.56,-8.38816785698333,-7.222925731316281,28.379506991116607
2.57,-8.272783578430479,-7.125883111163434,28.222627600176637
2.58,-8.159734314330105,-7.043674702330717,28.053211690802403
2.59,-8.050166421717458,-6.97673485574963,27.87309581438969
2.6,-7.945175866157269,-6.925293880042741,27.684320790940923
2.61,-7.845808221743796,-6.889378041523718,27.489131709065212
2.62,-7.753058671100778,-6.868809564197304,27.289977925978313
2.63,-7.667872005381479,-6.863206629759336,27.08951306750267
2.64,-7.591142624268649,-6.871983377596731,26.89059502806736
2.65,-7.523583360037819,-6.894329113410049,26.69570025174382
2.66,-7.465132060833762,-6.929526630735464,26.50406161294517
2.67,-7.416135845588134,-6.977406892908844,26.31678373597125
2.68,-7.376966646943071,-7.037747223499373,26.135374659360973
2.69,-7.347910974630063,-7.110212555716959,25.96127354903377
2.7,-7.329169915469949,-7.194355432412257,25.79585069828951
2.71,-7.320859133372923,-7.289616006076641,25.640407527808573
2.72,-7.323008869338527,-7.395322038842236,25.496176585651796
2.73,-7.335563941455656,-7.510688902481886,25.364321547260516
2.74,-7.358383744902557,-7.634819578409185,25.24593721545653
2.75,-7.391242251946826,-7.766704657678442,25.142049520442125
2.7600000000000002,-7.433828011945414,-7.905222340984725,25.053615519800065
2.77,-7.485744151344618,-8.049138438663809,24.98152339849359
2.7800000000000002,-7.546428701727576,-8.197214235735439,24.926474230087326
2.79,-7.614570613402781,-8.349369075877433,24.888032794479106
2.8000000000000003,-7.689926960158718,-8.504619900614765,24.867183083261562
2.81,-7.772451547736804,-8.6615692954059,24.86513022591051
2.82,-7.861944083341177,-8.818791236741435,24.882795488706638
2.83,-7.958050175638689,-8.97483109214408,24.920816274735536
2.84,-8.060261334758893,-9.128205620168645,24.979546123887665
2.85,-8.167914972294069,-9.27740297040207,25.05905471285839
2.86,-8.28019440129919,-9.420882683463393,25.159127855147943
2.87,-8.396128836291961,-9.557075691003789,25.279267501061458
2.88,-8.51459339325278,-9.684384315706517,25.418691737708947
2.89,-8.634309089624775,-9.801182271286981,25.57633478900532
2.9,-8.753842844313768,-9.905814662492674,25.75084701567035
2.91,-8.871607477688311,-9.996597985103222,25.94059491522873
2.92,-8.98586171157965,-10.07182012593035,26.143661122010005
2.93,-9.094710169281761,-10.129740362817909,26.357844407148647
2.94,-9.196126341496111,-10.168589993274466,26.580672662891246
2.95,-9.2902486663799,-10.186965034427596,26.81045936818604
2.96,-9.376723452022729,-10.184569126023606,27.04437289017468
2.97,-9.45396389539897,-10.161465687181217,27.278807137053036
2.98,-9.520609509565245,-10.11792072079209,27.510381172807108
2.99,-9.575526123660438,-10.054402813520824,27.735939217213115
3.0,-9.617805882905678,-9.97158313580496,27.952550645837416
3.0100000000000002,-9.646767248604364,-9.870335441854964,28.157509990036587
3.02,-9.661954998142138,-9.751736069654266,28.348336936957327
3.0300000000000002,-9.663140224986904,-9.617063940959204,28.522776329536565
3.04,-9.650320338688823,-9.467800561299084,28.678798166501366
3.0500000000000003,-9.623719064880307,-9.305630019976121,28.814597602369
3.06,-9.583786445276031,-9.132438990065502,28.92859494744688
3.0700000000000003,-9.531198837672918,-8.950316728415315,29.01943566783263
3.08,-9.466671340661799,-8.761861065147903,29.086075909792847
3.09,-9.39019593924886,-8.571335457580188,29.128175552659346
3.1,-9.302845989529741,-8.381333194022181,29.145314895111976
3.11,-9.205912547357391,-8.194006828579848,29.137333924233115
3.12,-9.100705004504121,-8.011389127184525,29.104418572381448
3.13,-8.988551088661634,-7.835393067592977,29.04710071719198
3.14,-8.87079686344099,-7.6678118393873484,28.96625818157602
3.15,-8.748806728372646,-7.510318843975212,28.8631147337212
3.16,-8.623963418906412,-7.364467694589516,28.73924008709145
3.17,-8.497668006411494,-7.2316922162886375,28.596549900427018
3.18,-8.371339898176458,-7.113306445956333,28.437305777744456
3.19,-8.246416837409264,-7.010504632301782,28.264115268336642
3.2,-8.12435490323722,-6.924361235859549,28.079931866772743
3.21,-8.006628243445014,-6.855820880811167,27.888048725750448
3.22,-7.894546965228842,-6.803235722207034,27.69011686500611
3.23,-7.789016437240256,-6.765463520580289,27.4868770200995
